Ship,Tow_number,Net_number,Taxon,Fish.ID,Image.Name,ImageJ.Number,Std_length_mm,Notes,Tow_net,cruise_no,fish_no,packet_no,lowest_taxa_final,taxa_code_final,taxa_code_final_method,taxa_code_original,taxa_updated_date,visual_ID_confidence,photo_ID,total_weight,gut_weight_full,gut_weight_empty,gut_dispensation,sex,sex_confidence,gonad_weight,head_collected,body_location,fish_comments,processed_date,processed_initials,taxa_code,Lowest_taxon
Sarmiento,4,3,Myctophidae,MOC4-Net3-Myc-2,SG2105_MOC4_Net3_ImageJ,2,13.566,NA,4 _ 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,4,3,Myctophidae,MOC4-Net3-Myc-3,SG2105_MOC4_Net3_ImageJ,3,13.0935,NA,4 _ 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,4,4,Gonostomatidae,MOC4-Net4-Gon-1,SG2105_MOC4_Net4_ImageJ,1,18.6165,"body broken, head present",4 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,4,4,Gonostomatidae,MOC4-Net4-Gon-2,SG2105_MOC4_Net4_ImageJ,2,17.2305,"body broken, head present",4 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,5,1,Gonostomatidae,MOC5-Net1-Gon-1,SG2105_MOC5_Net1_ImageJ,1,28.917,NA,5 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,5,1,Gonostomatidae,MOC5-Net1-Gon-2,SG2105_MOC5_Net1_ImageJ,2,23.709,headless,5 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,5,1,Gonostomatidae,MOC5-Net1-Gon-3,SG2105_MOC5_Net1_ImageJ,3,20.9475,NA,5 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,5,3,Sternoptychidae,MOC5-Net3-Ste-1,SG2105_MOC5_Net3_ImageJ,1,13.713,NA,5 _ 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,1,Gonostomatidae,MOC6-Net1-Gon-1,SG2105_MOC6_Net1_ImageJ,1,27.531,NA,6 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,1,Gonostomatidae,MOC6-Net1-Gon-2,SG2105_MOC6_Net1_ImageJ,2,20.4645,NA,6 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,1,Gonostomatidae,MOC6-Net1-Gon-3,SG2105_MOC6_Net1_ImageJ,3,20.118,NA,6 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,1,Gonostomatidae,MOC6-Net1-Gon-4,SG2105_MOC6_Net1_ImageJ,4,25.0215,NA,6 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,1,Gonostomatidae,MOC6-Net1-Gon-5,SG2105_MOC6_Net1_ImageJ,5,21.609,NA,6 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,1,Gonostomatidae,MOC6-Net1-Gon-6,SG2105_MOC6_Net1_ImageJ,6,21.84,NA,6 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,1,Gonostomatidae,MOC6-Net1-Gon-7,SG2105_MOC6_Net1_ImageJ,7,20.1705,NA,6 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,1,Gonostomatidae,MOC6-Net1-Gon-8,SG2105_MOC6_Net1_ImageJ,8,35.49,NA,6 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,1,Paralepididae,MOC6-Net1-Par-1,SG2105_MOC6_Net1_ImageJ,9,20.538,NA,6 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,1,Unknown ,MOC6-Net1-Unk-1,SG2105_MOC6_Net1_ImageJ,10,16.023,NA,6 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,2,Sternoptychidae,MOC6-Net2-Ste-1,SG2105_MOC6_Net2_ImageJ,1,30.66,NA,6 _ 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,2,Sternoptychidae,MOC6-Net2-Ste-2,SG2105_MOC6_Net2_ImageJ,2,20.6745,NA,6 _ 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,2,Myctophidae,MOC6-Net2-Myc-1,SG2105_MOC6_Net2_ImageJ,3,14.385,NA,6 _ 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,2,Myctophidae,MOC6-Net2-Myc-2,SG2105_MOC6_Net2_ImageJ,4,13.482,NA,6 _ 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,2,Myctophidae,MOC6-Net2-Myc-3,SG2105_MOC6_Net2_ImageJ,5,11.7075,NA,6 _ 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,3,Sternoptychidae,MOC6-Net3-Ste-1,SG2105_MOC6_Net3_ImageJ,1,13.9335,NA,6 _ 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,4,Stomiidae,MOC6-Net4-Sto-1,SG2105_MOC6_Net4_ImageJ,2,39.8685,NA,6 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,4,Stomiidae,MOC6-Net4-Sto-2,SG2105_MOC6_Net4_ImageJ,3,44.8665,NA,6 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,4,Myctophidae,MOC6-Net4-Myc-1,SG2105_MOC6_Net4_ImageJ,4,14.028,NA,6 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,4,Myctophidae,MOC6-Net4-Myc-2,SG2105_MOC6_Net4_ImageJ,5,14.8365,NA,6 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,4,Myctophidae,MOC6-Net4-Myc-3,SG2105_MOC6_Net4_ImageJ,6,10.647,NA,6 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,4,Myctophidae,MOC6-Net4-Myc-4,SG2105_MOC6_Net4_ImageJ,7,29.2005,NA,6 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,4,Myctophidae,MOC6-Net4-Myc-5,SG2105_MOC6_Net4_ImageJ,8,27.699,NA,6 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,4,Myctophidae,MOC6-Net4-Myc-6,SG2105_MOC6_Net4_ImageJ,9,21.3255,NA,6 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,4,Myctophidae,MOC6-Net4-Myc-7,SG2105_MOC6_Net4_ImageJ,10,24.8325,NA,6 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,4,Myctophidae,MOC6-Net4-Myc-10,SG2105_MOC6_Net4_ImageJ,13,25.473,NA,6 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,4,Myctophidae,MOC6-Net4-Myc-12,SG2105_MOC6_Net4_ImageJ,15,12.747,NA,6 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,4,Myctophidae,MOC6-Net4-Myc-13,SG2105_MOC6_Net4_ImageJ,16,25.032,NA,6 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,4,Myctophidae,MOC6-Net4-Myc-14,SG2105_MOC6_Net4_ImageJ,17,26.1345,NA,6 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,4,Myctophidae,MOC6-Net4-Myc-16,SG2105_MOC6_Net4_ImageJ,19,13.6815,body only,6 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,4,Myctophidae,MOC6-Net4-Myc-18,SG2105_MOC6_Net4_ImageJ,21,14.553,body only,6 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,4,Myctophidae,MOC6-Net4-Myc-19,SG2105_MOC6_Net4_ImageJ,22,12.642,head only,6 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,4,Myctophidae,MOC6-Net4-Myc-20,SG2105_MOC6_Net4_ImageJ,23,16.884,body only,6 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,6,4,Myctophidae,MOC6-Net4-Myc-22,SG2105_MOC6_Net4_ImageJ,25,26.964,NA,6 _ 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,7,1,Gonostomatidae,MOC7-Net1-Gon-1,SG2105_MOC7_Net1_ImageJ,1,33.2325,NA,7 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,7,1,Gonostomatidae,MOC7-Net1-Gon-2,SG2105_MOC7_Net1_ImageJ,2,32.3925,NA,7 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,7,1,Gonostomatidae,MOC7-Net1-Gon-3,SG2105_MOC7_Net1_ImageJ,3,29.799,NA,7 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,7,1,Gonostomatidae,MOC7-Net1-Gon-4,SG2105_MOC7_Net1_ImageJ,4,19.383,body fragment,7 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,7,1,Myctophidae,MOC7-Net1-Myc-1,SG2105_MOC7_Net1_ImageJ,5,28.749,NA,7 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,7,1,Alepocephalidae,MOC7-Net1-Ale-1,SG2105_MOC7_Net1_ImageJ,8,21.7035,NA,7 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
